Escenario,ID_SIGA,Q5(m3.d-1),CE(uS.cm-1),ODs(kg.m-3),CDBO5(kg.m-3),EC(ufc.m-3),SST(kg.m-3),NO3(kg.m-3),NH4(kg.m-3),NO(kg.m-3),PO(kg.m-3),PI(kg.m-3),PT(kg.m-3),Fecha
80,26,2.3666194444444444,27.44595,7.213770833333332,0.0,11601.659734027777,161.54524305555555,0.11244444444444444,0.23735416666666667,0.11540277777777777,0.004215277777777778,0.0455,0.04970138888888889,2017-01-01
80,26,2.0352388888888893,27.920161805555555,7.276701388888889,0.0,9004.457086111111,118.97778472222222,0.12305555555555554,0.2648055555555555,0.12111805555555555,0.004541666666666667,0.04765972222222223,0.052159722222222225,2018-01-01
80,26,1.4540041666666665,27.767222222222223,7.256562499999999,0.0,4988.520814583334,80.72854861111111,0.19526388888888888,0.3292013888888889,0.13524999999999998,0.005625000000000001,0.05447222222222223,0.06010416666666666,2019-01-01
80,26,1.8359125,28.02833888888889,7.29076388888889,0.0,5150.506846527777,126.66418055555556,0.1661736111111111,0.3117916666666667,0.12363888888888888,0.005027777777777778,0.050923611111111114,0.05591666666666666,2020-01-01
80,26,2.6258909722222223,28.836650694444447,7.395548611111112,0.0,7060.999520138889,208.47804166666666,0.09916666666666667,0.23094444444444445,0.11045138888888889,0.0038125000000000004,0.043756944444444446,0.04754166666666667,2021-01-01
80,27,3.1636256944444443,27.064003472222222,7.1639236111111115,0.0,6020.342141666666,112.00143750000001,0.08382638888888888,0.12411805555555556,0.04861805555555556,0.0024375000000000004,0.052875,0.05535416666666667,2010-01-01
80,27,2.3717631944444446,27.88931388888889,7.274597222222222,0.0,6604.753236805555,47.03426388888889,0.063625,0.11504166666666665,0.051993055555555556,0.0024791666666666664,0.053,0.05545138888888889,2011-01-01
80,27,2.691361111111111,27.36602638888889,7.205847222222222,0.0,6736.402679861111,78.42154166666666,0.06264583333333335,0.11307638888888889,0.04942361111111111,0.002326388888888889,0.0516875,0.05406944444444444,2012-01-01
80,27,2.4447326388888886,27.12024861111111,7.17245138888889,0.0,7425.614613888889,64.33957638888889,0.07414583333333333,0.12560416666666666,0.05355555555555555,0.0026319444444444446,0.05315277777777778,0.055763888888888884,2013-01-01
80,27,2.1306506944444443,27.255366666666667,7.191243055555556,0.0,8308.148116666667,50.761826388888885,0.09308333333333334,0.14903472222222222,0.05985416666666667,0.0030555555555555557,0.056187499999999994,0.059222222222222225,2014-01-01
80,27,1.4481444444444445,27.04008125,7.161458333333333,0.0,6876.985102777778,21.36007638888889,0.11976388888888888,0.17127777777777778,0.06534027777777779,0.0036180555555555558,0.06263888888888888,0.06624305555555556,2015-01-01
80,27,2.497740972222222,26.65831111111111,7.109111111111111,0.0,9482.091602777778,74.08628472222222,0.1114861111111111,0.1575763888888889,0.05265277777777778,0.0028194444444444447,0.05695833333333333,0.059798611111111115,2016-01-01
80,27,2.534629861111111,27.01038472222222,7.157937499999999,0.0,8838.952573611112,72.08346527777778,0.07607638888888889,0.12355555555555557,0.0556875,0.0027916666666666667,0.05216666666666667,0.05496527777777778,2017-01-01
80,27,2.2246368055555554,27.48488472222222,7.222013888888889,0.0,6921.354088194445,50.64529861111111,0.08309027777777778,0.13877083333333334,0.05739583333333334,0.002909722222222222,0.05541666666666667,0.058319444444444445,2018-01-01
80,27,1.451576388888889,27.254155555555556,7.191069444444444,0.0,3194.5000138888886,23.78515277777778,0.12746527777777777,0.1630763888888889,0.05620833333333333,0.003375,0.06625,0.06961111111111111,2019-01-01
80,27,1.9012145833333334,27.403599999999997,7.210652777777778,0.0,3296.5110756944446,52.526624999999996,0.11077083333333333,0.15265972222222224,0.051611111111111115,0.0030833333333333333,0.06315277777777778,0.0662361111111111,2020-01-01
80,27,2.6606465277777778,27.951877777777778,7.2842569444444445,0.0,4643.11115625,80.69514583333334,0.06782638888888888,0.11874305555555556,0.052159722222222225,0.002513888888888889,0.0514375,0.05391666666666667,2021-01-01
80,28,0.7477854166666666,26.509269444444445,7.102944444444444,0.0,11899.05714236111,372.54780555555556,0.36997222222222226,0.5589791666666666,0.20511111111111113,0.008069444444444443,0.09010416666666667,0.09814583333333333,2010-01-01
80,28,0.5962555555555555,27.316566666666667,7.213909722222223,0.0,12756.99677361111,229.16305555555553,0.24490972222222224,0.49593055555555554,0.21683333333333332,0.007881944444444445,0.09079861111111111,0.09870138888888888,2011-01-01
80,28,0.6191319444444444,26.808743055555553,7.1457847222222215,0.0,12337.990434722222,245.22639583333336,0.2587013888888889,0.5124722222222222,0.21450694444444443,0.007993055555555555,0.09424305555555555,0.10224305555555556,2012-01-01
80,28,0.5758180555555555,26.58025486111111,7.113729166666666,0.0,13673.100168055556,216.27816666666666,0.32558333333333334,0.5760208333333333,0.2334236111111111,0.008965277777777777,0.09643055555555555,0.1054236111111111,2013-01-01
80,28,0.5014770833333333,26.624496527777776,7.120326388888889,0.0,15043.490881944444,161.33928472222223,0.4000972222222222,0.6663055555555556,0.25833333333333336,0.010333333333333333,0.10736111111111112,0.11772916666666666,2014-01-01
80,28,0.3354611111111111,26.372631249999998,7.084826388888889,0.0,11520.643938194444,71.1714375,0.5202916666666666,0.7632222222222222,0.2783888888888889,0.012097222222222223,0.13302777777777777,0.14513194444444444,2015-01-01
80,28,0.5867513888888889,26.081493055555555,7.043694444444444,0.0,17204.09664722222,243.6332777777778,0.4834027777777778,0.7170208333333333,0.2270902777777778,0.009305555555555556,0.09627777777777778,0.10557638888888889,2016-01-01
80,28,0.6155645833333333,26.437290972222222,7.094201388888888,0.0,15744.867579166668,263.3917638888889,0.3181805555555555,0.5484652777777778,0.23930555555555555,0.0091875,0.09484027777777777,0.10397222222222222,2017-01-01
80,28,0.5472208333333334,26.907897916666666,7.159430555555556,0.0,12842.095410416667,212.4972222222222,0.34834027777777776,0.6194652777777778,0.2433263888888889,0.009590277777777777,0.1022986111111111,0.111875,2018-01-01
80,28,0.29706666666666665,26.625532638888888,7.120569444444445,0.0,5675.655680555556,55.46395138888889,0.6066111111111111,0.7602222222222221,0.24611111111111109,0.011784722222222222,0.13066666666666665,0.14240972222222223,2019-01-01
80,28,0.4180972222222222,26.758619444444445,7.137854166666666,0.0,6121.636411111112,157.1422777777778,0.5382847222222222,0.7276180555555556,0.22216666666666668,0.010625,0.11079166666666668,0.12140277777777778,2020-01-01
80,28,0.5928854166666667,27.158375,7.19382638888889,0.0,9149.096223611112,217.66365277777777,0.2871666666666666,0.5417638888888888,0.22383333333333333,0.008486111111111111,0.09517361111111111,0.10358333333333333,2021-01-01
80,29,13.12060625,26.814484722222222,7.49763888888889,0.0,2711.0376833333335,198.74300694444443,0.13460416666666666,0.21712499999999998,0.0804375,0.003451388888888889,0.0670486111111111,0.07050694444444444,2010-01-01
80,29,10.145856250000001,27.517936111111112,7.598000000000001,0.0,3022.271247222222,101.16974305555556,0.09778472222222222,0.20216666666666666,0.08496527777777778,0.0035069444444444445,0.06640277777777777,0.06991666666666667,2011-01-01
80,29,11.188728472222222,27.118119444444446,7.542041666666667,0.0,3036.018490277778,137.4580486111111,0.10055555555555556,0.20188194444444446,0.08317361111111111,0.003451388888888889,0.0657638888888889,0.06922222222222223,2012-01-01
